Código,Nombre,Código de Barras,SKU,Servicio,Uses,Costo,Precio,IVA,IEPS,SAT code,Proveedor,Categorías,AppliesTo
1,Acoplador simplex LC/SC Monomodo,"[""SBE-ADAPLC-SC-S""]",SBE-ADAPLC-SC-S,TRUE,No,,16.28,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
2,Acoplador simplex SC SM,"[""SBE-ADAPSC-S""]",SBE-ADAPSC-S,TRUE,No,,0.74,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
3,Acoplador simplex SC/APC SM,"[""SBE-ADAPSCAPC-S""]",SBE-ADAPSCAPC-S,TRUE,No,,0.70,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
4,Acoplador simplex SC/APC SM,"[""SBE-ADAPSCAPC-S (GPON)""]",SBE-ADAPSCAPC-S (GPON),TRUE,No,,0.70,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
5,Cable UTP Cat 6A color azul.,"[""SBE-UTPC6A-BL""]",SBE-UTPC6A-BL,TRUE,No,,162.50,16,0,26121600,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
6,Botas para plug RJ 45 cat 5e y 6 color azul,"[""SBE-CAP-828-BL""]",SBE-CAP-828-BL,TRUE,No,,0.90,16,0,43223300,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
7,Botas para plug RJ 45 cat 5e y 6 color gris,"[""SBE-CAP-828-GY""]",SBE-CAP-828-GY,TRUE,No,,0.90,16,0,43223300,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
8,Botas para plug RJ 45 cat 5e y 6 color negro,"[""SBE-CAP-828-BK""]",SBE-CAP-828-BK,TRUE,No,,0.90,16,0,43223300,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
9,Botas para plug RJ 45 cat 6a color gris,"[""SBE-CAP6A-828-GY""]",SBE-CAP6A-828-GY,TRUE,No,,1.40,16,0,43223300,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
10,Cable UTP cat. 5e negro para exterior con gel.,"[""SBE-UTPC5EXT""]",SBE-UTPC5EXT,TRUE,No,,95.00,16,0,26121600,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
11,Cable UTP cat. 6 negro para exterior con gel.,"[""SBE-UTPC6EXT""]",SBE-UTPC6EXT,TRUE,No,,142.00,16,0,26121600,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
12,Cable UTP cat.6 azul.,"[""SBE-UTPC6CERT-BL""]",SBE-UTPC6CERT-BL,TRUE,No,,110.70,16,0,26121600,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
13,Cable UTP cat.6 gris.,"[""SBE-UTPC6CERT-GY""]",SBE-UTPC6CERT-GY,TRUE,No,,110.70,16,0,26121600,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
14,Cable UTP categoría 5e azul.,"[""SBE-UTPC5ECU-BL""]",SBE-UTPC5ECU-BL,TRUE,No,,76.00,16,0,26121600,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
15,Cable UTP categoría 5e con aleación azul.,"[""SBE-1101D-BL""]",SBE-1101D-BL,TRUE,No,,36.69,16,0,26121600,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
