CÃ³digo,Tags
1,ADAPLC-SC-S|CTFO4PNL|ADAPLC-SC-S|PIGSCAPC1M
2,ADAPSC-S|CTFO4PNL|ADAPSC-S|PIGSCAPC1M
3,ADAPSCAPC-S|CTFO4PNL|ADAPSCAPC-S|CONPPSCSMAPC|JUSCAPCSCAPC2MSM|PIGSCAPC2MSM
4,ADAPSCAPC-S|CTFO4PNL|ADAPSCAPC-S|CONPPSCSMAPC|JUSCAPCSCAPC2MSM|PIGSCAPC2MSM
5,UTPC6A-BL|JACK CAT6A|PLACA CAT6A|CAJA UNIVERSAL REFORZADA|PLUG CAT6A
6,CAP-828-BL|UTP CAT5E|PLUG CAT5E|JACK CAT5E|BOTAS CAT5E|BOTAS CAT6
7,CAP-828-GY|UTP CAT5E|PLUG CAT5E|JACK CAT5E|BOTAS CAT5E|BOTAS CAT6
8,CAP-828-BK|UTP CAT5E|PLUG CAT5E|JACK CAT5E|BOTAS CAT5E|BOTAS CAT6
9,CAP6A-828-GY|UTP CAT6A|PLUG CAT6A|JACK CAT6A|PLUG CAT6A|BOTAS CAT6A
10,UTPC5EXT|JACK CAT5E|PLACA CAT5E|CAJA UNIVERSAL REFORZADA|PLUG CAT5E EXTERIOR
11,UTPC6EXT|JACK CAT6|PLACA CAT6|CAJA UNIVERSAL REFORZADA|PLUG CAT6 EXTERIOR
12,UTPC6CERT-BL|JACK CAT6|PLACA CAT6|CAJA UNIVERSAL REFORZADA|UTP CAT6
13,UTPC6CERT-GY|JACK CAT6|PLACA CAT6|CAJA UNIVERSAL REFORZADA|UTP CAT6
14,UTPC5ECU-BL|JACK CAT 5E|PLACA 5E|CAJA UNIVERSAL REFORZADA|UTP CAT5E
15,1101D-BL|JACK CAT 5E|PLACA 5E|CAJA UNIVERSAL REFORZADA|UTP CAT5E
16,1101D-GY|JACK CAT 5E|PLACA 5E|CAJA UNIVERSAL REFORZADA|UTP CAT5E
17,UTPC5ECU-GY|JACK CAT 5E|PLACA 5E|CAJA UNIVERSAL REFORZADA|UTP CAT5E
18,CDEXTFTTX2X8|CDEXTFTTX2X8|SPLITTERS 1x8|ADAPSCAPC-S|CONPPSCSMAPC|JUSCAPCSCAPC2MSM|PIGSCAPC2MSM
19,CDEXTFTTX2X12NL|CDEXTFTTX2X12NL|SPLITTERS 1x12|ADAPSCAPC-S|CONPPSCSMAPC|JUSCAPCSCAPC2MSM|PIGSCAPC2MSM
20,CDEXTFTTX2X24NL|CDEXTFTTX2X24NL|SPLITTERS 1x24|ADAPSCAPC-S|CONPPSCSMAPC|JUSCAPCSCAPC2MSM|PIGSCAPC2MSM
21,CDEXTFTTX2X48NL|CDEXTFTTX2X48NL|SPLITTERS 1x48|ADAPSCAPC-S|CONPPSCSMAPC|JUSCAPCSCAPC2MSM|PIGSCAPC2MSM
22,CTFO4PNL|CTFO4PNL|ADAPSCAPC-S|CONPPSCSMAPC|JUSCAPCSCAPC2MSM|PIGSCAPC2MSM
23,CUNIV-N|JACK CAT6|PLACA CAT6|PATCH CORD CAT6
24,CUNIV2|JACK CAT6|PLACA CAT6|PATCH CORD CAT6
25,CDES1910R|RACK 7|RACK 4|TORNILLOS RACK
26,CDES1M|GABINETE 1M|TUERCAS ENJAULADAS|GABINETE PISO
